date,Open,High,Low,Close,Volume,ma_value,rsi,peak,drawdown_pct,signal_bool,reason_flags
2017-10-20,10000.0,10604.771279566568,8628.83181452464,8646.124062649938,24000.0,,,8646.124062649938,0.0,False,Below_MA;Overbought_RSI;
2017-10-21,8646.124062649938,9814.42773587868,8121.216009494367,8145.500774144602,24000.0,,,8646.124062649938,-0.05790146947670579,False,Below_MA;Overbought_RSI;
2017-10-22,8145.500774144602,9215.912663827254,7793.625152809447,7860.332663565101,24000.0,,,8646.124062649938,-0.09088365993721369,False,Below_MA;Overbought_RSI;
2017-10-23,7860.332663565101,9113.695049136584,7565.400207039668,7580.561329699066,24000.0,,,8646.124062649938,-0.12324166588748782,False,Below_MA;Overbought_RSI;
2017-10-24,7580.561329699066,8737.493550489284,7291.00498675352,7317.577070782984,24000.0,,,8646.124062649938,-0.15365809954151521,False,Below_MA;Overbought_RSI;
2017-10-25,7317.577070782984,8349.499513615307,7030.043501644574,7111.017644606459,24000.0,,,8646.124062649938,-0.17754850692866267,False,Below_MA;Overbought_RSI;
2017-10-26,7111.017644606459,8139.269146439435,6788.109299592903,6802.190461970177,24000.0,,,8646.124062649938,-0.21326707635913988,False,Below_MA;Overbought_RSI;
2017-10-27,6802.190461970177,7759.382342654199,6540.571961125623,6612.631432106972,24000.0,,,8646.124062649938,-0.23519123896537333,False,Below_MA;Overbought_RSI;
2017-10-28,6612.631432106972,7666.060205935768,6452.323006463455,6619.772680325669,24000.0,,,8646.124062649938,-0.23436529104154627,False,Below_MA;Overbought_RSI;
2017-10-29,6619.772680325669,7488.333281068905,6260.5523057241935,6273.098502729653,24000.0,,,8646.124062649938,-0.27446119703179234,False,Below_MA;Overbought_RSI;
2017-10-30,6273.098502729653,7500.151562535119,6197.9467826669525,6331.514622319782,24000.0,,,8646.124062649938,-0.26770486099418234,False,Below_MA;Overbought_RSI;
2017-10-31,6331.514622319782,7225.021211881913,6059.5522381178735,6097.574208142712,24000.0,,,8646.124062649938,-0.29476211953939097,False,Below_MA;Overbought_RSI;
2017-11-01,6097.574208142712,7052.091541309252,5910.647299183348,5975.152594417104,24000.0,,,8646.124062649938,-0.30892125175152896,False,Below_MA;Overbought_RSI;
2017-11-02,5975.152594417104,6632.380261283898,5572.744750547837,5583.912575699235,24000.0,,2.0529492835873953,8646.124062649938,-0.35417158772669405,False,Below_MA;
2017-11-03,5583.912575699235,6413.636393639191,5408.647361943175,5491.621370557514,24000.0,,1.99528305565741,8646.124062649938,-0.36484587420153275,False,Below_MA;
2017-11-04,5491.621370557514,6420.097795329188,5388.207561121959,5462.144351537291,24000.0,,2.329296131432784,8646.124062649938,-0.3682551497111867,False,Below_MA;
2017-11-05,5462.144351537291,6322.786751144924,5299.936213496226,5310.557328152531,24000.0,,2.445358297874293,8646.124062649938,-0.3857875170802365,False,Below_MA;
2017-11-06,5310.557328152531,5990.5245937777945,5021.207063474825,5031.269602680186,24000.0,,2.445799498048572,8646.124062649938,-0.4180895894826937,False,Below_MA;
2017-11-07,5031.269602680186,5951.4793072596185,4970.994992840077,5090.555700236987,24000.0,,5.040701212219645,8646.124062649938,-0.41123263287101275,False,Below_MA;
2017-11-08,5090.555700236987,5782.010464777202,4841.774644649321,4911.733897933187,24000.0,,5.097793392035996,8646.124062649938,-0.4319149410368515,False,Below_MA;
2017-11-09,4911.733897933187,5551.711185302035,4657.72368329103,4735.3213967722895,24000.0,,5.38918401217208,8646.124062649938,-0.4523185924166617,False,Below_MA;
2017-11-10,4735.3213967722895,5553.477703959105,4637.451759718468,4646.745250218905,24000.0,,5.634815870194089,8646.124062649938,-0.4625631998166435,False,Below_MA;
